country       ,country_code ,indicator ,weekly_count ,rate_14_day            ,date       ,cumulative ,pandemic_wave    ,cases_per_million        ,month   ,quarter
Austria       ,AUT          ,deaths    ,         9.0 ,    2.35092241239568   ,2020-02-10 ,  257465.0 ,First Wave       ,    1.0075381767410037   ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,         4.0 ,    0.55974343152278   ,2020-02-10 ,  257469.0 ,First Wave       ,    0.4477947452182238   ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,       549.0 ,  102.321099282364     ,2020-02-10 ,  258018.0 ,First Wave       ,   61.45982878120122     ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,         0.0 ,    0.0                ,2020-02-17 ,  258018.0 ,First Wave       ,    0.0                  ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,       448.0 ,   12.6725912896757    ,2020-02-17 ,  258466.0 ,First Wave       ,   50.15301146444107     ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,       640.0 ,   10.9149969146942    ,2020-02-17 ,  259106.0 ,First Wave       ,   71.6471592349158      ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,      3997.0 ,   70.1358519698043    ,2020-02-17 ,  263103.0 ,First Wave       ,  447.45889915931014     ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,     40742.0 ,  992.111647768236     ,2020-02-17 ,  303845.0 ,First Wave       , 4561.013377420219       ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,         0.0 ,    0.0                ,2020-02-17 ,  303845.0 ,First Wave       ,    0.0                  ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,        75.0 ,   21.6060964567793    ,2020-02-17 ,  303920.0 ,First Wave       ,    8.396151472841696    ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,         2.0 ,    1.23143554935012   ,2020-02-17 ,  303922.0 ,First Wave       ,    0.2238973726091119   ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,        11.0 ,    1.67923029456834   ,2020-02-17 ,  303933.0 ,First Wave       ,    1.2314355493501155   ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,       671.0 ,  136.577397291558     ,2020-02-17 ,  304604.0 ,First Wave       ,   75.11756851035705     ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,         0.0 ,    0.0                ,2020-02-24 ,  304604.0 ,First Wave       ,    0.0                  ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,       312.0 ,    8.50810015914625   ,2020-02-24 ,  304916.0 ,First Wave       ,   34.92799012702145     ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,       596.0 ,   13.8368576272431    ,2020-02-24 ,  305512.0 ,First Wave       ,   66.72141703751535     ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,      5211.0 ,  103.082350349235     ,2020-02-24 ,  310723.0 ,First Wave       ,  583.364604333041       ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,     31162.0 ,  804.955834004279     ,2020-02-24 ,  341885.0 ,First Wave       , 3488.5449626225723      ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,         0.0 ,    0.0                ,2020-02-24 ,  341885.0 ,First Wave       ,    0.0                  ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,        42.0 ,   13.0979962976331    ,2020-02-24 ,  341927.0 ,First Wave       ,    4.70184482479135     ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,         3.0 ,    0.55974343152278   ,2020-02-24 ,  341930.0 ,First Wave       ,    0.3358460589136678   ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,        15.0 ,    2.91066584391846   ,2020-02-24 ,  341945.0 ,First Wave       ,    1.6792302945683393   ,2020-02 ,2020Q1
Austria       ,AUT          ,deaths    ,       729.0 ,  156.728160826378     ,2020-02-24 ,  342674.0 ,First Wave       ,   81.6105923160213      ,2020-02 ,2020Q1
Austria       ,AUT          ,cases     ,        12.0 ,    0.134338423565467  ,2020-03-02 ,  342686.0 ,First Wave       ,    1.3433842356546712   ,2020-03 ,2020Q1
Austria       ,AUT          ,cases     ,       264.0 ,    6.44824433114242   ,2020-03-02 ,  342950.0 ,First Wave       ,   29.55445318440277     ,2020-03 ,2020Q1
Austria       ,AUT          ,cases     ,       784.0 ,   15.4489187100287    ,2020-03-02 ,  343734.0 ,First Wave       ,   87.76777006277186     ,2020-03 ,2020Q1
Austria       ,AUT          ,cases     ,      4656.0 ,  110.459768776705     ,2020-03-02 ,  348390.0 ,First Wave       ,  521.2330834340124      ,2020-03 ,2020Q1
Austria       ,AUT          ,cases     ,     23078.0 ,  607.209674515912     ,2020-03-02 ,  371468.0 ,First Wave       , 2583.5517825365423      ,2020-03 ,2020Q1
Austria       ,AUT          ,deaths    ,         0.0 ,    0.0                ,2020-03-02 ,  371468.0 ,First Wave       ,    0.0                  ,2020-03 ,2020Q1
Austria       ,AUT          ,deaths    ,        24.0 ,    7.38861329610069   ,2020-03-02 ,  371492.0 ,First Wave       ,    2.6867684713093425   ,2020-03 ,2020Q1
Austria       ,AUT          ,deaths    ,         2.0 ,    0.55974343152278   ,2020-03-02 ,  371494.0 ,First Wave       ,    0.2238973726091119   ,2020-03 ,2020Q1
Austria       ,AUT          ,deaths    ,        25.0 ,    4.47794745218224   ,2020-03-02 ,  371519.0 ,First Wave       ,    2.7987171576138987   ,2020-03 ,2020Q1
Austria       ,AUT          ,deaths    ,       776.0 ,  168.482772888357     ,2020-03-02 ,  372295.0 ,First Wave       ,   86.87218057233542     ,2020-03 ,2020Q1
Austria       ,AUT          ,cases     ,     18225.0 ,  386.77151631361      ,2020-12-28 ,  390520.0 ,First Wave       , 2040.2648079005326      ,2020-12 ,2020Q4
Austria       ,AUT          ,cases     ,      4156.0 ,  110.739640492467     ,2020-12-28 ,  394676.0 ,First Wave       ,  465.25874028173456     ,2020-12 ,2020Q4
Austria       ,AUT          ,cases     ,      3251.0 ,   64.7511201585552    ,2020-12-28 ,  397927.0 ,First Wave       ,  363.9451791761114      ,2020-12 ,2020Q4
Austria       ,AUT          ,cases     ,     12784.0 ,  284.103376103702     ,2020-12-28 ,  410711.0 ,First Wave       , 1431.1520057174432      ,2020-12 ,2020Q4
Austria       ,AUT          ,cases     ,     18860.0 ,  539.200847585894     ,2020-12-28 ,  429571.0 ,First Wave       , 2111.352223703925       ,2020-12 ,2020Q4
