Country       ,Response_measure                            ,date_start ,date_end   ,stringency_score    ,intervention_duration ,intervention_category ,stringency_category
Estonia       ,NonEssentialShopsPartial                    ,2021-05-03 ,2021-06-22 , 27.500000000000004 ,                   50 ,Business              ,Low
Estonia       ,OutdoorOver100                              ,2020-05-18 ,2020-06-30 , 20.0               ,                   43 ,Gathering             ,Low
Estonia       ,OutdoorOver100                              ,2021-02-22 ,2021-03-02 , 20.0               ,                    8 ,Gathering             ,Low
Estonia       ,OutdoorOver100                              ,2021-08-09 ,2022-03-15 , 20.0               ,                  218 ,Gathering             ,Low
Estonia       ,OutdoorOver1000                             ,2020-07-01 ,2020-11-23 , 20.0               ,                  145 ,Gathering             ,Low
Estonia       ,OutdoorOver1000                             ,2021-06-11 ,2021-06-27 , 20.0               ,                   16 ,Gathering             ,Low
Estonia       ,OutdoorOver1000                             ,2021-08-02 ,2021-08-08 , 20.0               ,                    6 ,Gathering             ,Low
Estonia       ,OutdoorOver500                              ,2020-11-24 ,2021-02-21 , 20.0               ,                   89 ,Gathering             ,Low
Estonia       ,OutdoorOver500                              ,2021-05-03 ,2021-06-10 , 20.0               ,                   38 ,Gathering             ,Low
Estonia       ,PlaceOfWorship                              ,2020-03-12 ,2020-05-10 , 20.0               ,                   59 ,Public Space          ,Low
Estonia       ,PlaceOfWorshipPartial                       ,2020-12-24 ,2021-06-22 , 20.0               ,                  180 ,Public Space          ,Low
Estonia       ,PlaceOfWorshipPartial                       ,2021-08-09 ,2022-03-31 , 20.0               ,                  234 ,Public Space          ,Low
Estonia       ,PrivateGatheringRestrictions                ,2020-03-12 ,2020-05-17 , 60.0               ,                   66 ,Gathering             ,Medium
Estonia       ,PrivateGatheringRestrictions                ,2020-11-16 ,2021-01-10 , 60.0               ,                   55 ,Gathering             ,Medium
Estonia       ,PrivateGatheringRestrictions                ,2021-02-01 ,2021-04-25 , 60.0               ,                   83 ,Gathering             ,Medium
Estonia       ,PrivateGatheringRestrictionsPartial         ,2021-01-11 ,2021-01-31 , 30.0               ,                   20 ,Gathering             ,Low
Estonia       ,PrivateGatheringRestrictionsPartial         ,2021-04-26 ,2021-06-22 , 30.0               ,                   57 ,Gathering             ,Low
Estonia       ,QuarantineForInternationalTravellers        ,2020-01-28 ,2020-05-31 , 60.0               ,                  124 ,Travel                ,Medium
Estonia       ,QuarantineForInternationalTravellers        ,2020-07-31 ,2021-01-31 , 60.0               ,                  184 ,Travel                ,Medium
Estonia       ,QuarantineForInternationalTravellers        ,2022-01-10 ,2022-06-30 , 60.0               ,                  171 ,Travel                ,Medium
Estonia       ,QuarantineForInternationalTravellersPartial ,2020-06-01 ,2020-07-30 , 30.0               ,                   59 ,Travel                ,Low
Estonia       ,QuarantineForInternationalTravellersPartial ,2021-02-01 ,2022-01-09 , 30.0               ,                  342 ,Travel                ,Low
Estonia       ,RestaurantsCafes                            ,2020-03-27 ,2020-05-17 , 20.0               ,                   51 ,Business              ,Low
Estonia       ,RestaurantsCafes                            ,2021-03-11 ,2021-05-02 , 20.0               ,                   52 ,Business              ,Low
Estonia       ,RestaurantsCafesPartial                     ,2020-11-16 ,2021-03-10 , 20.0               ,                  114 ,Business              ,Low
Estonia       ,RestaurantsCafesPartial                     ,2021-05-03 ,2021-06-22 , 20.0               ,                   50 ,Business              ,Low
Estonia       ,StayHomeGen                                 ,2020-03-12 ,2020-05-17 , 20.0               ,                   66 ,Lockdown              ,Low
Estonia       ,TeleworkingPartial                          ,2020-03-16 ,2022-03-14 , 20.0               ,                  728 ,Workplace             ,Low
Finland       ,BanOnAllEvents                              ,2020-03-17 ,2020-06-30 , 75.0               ,                  105 ,Events                ,High
Finland       ,ClosHigh                                    ,2020-03-18 ,2020-08-03 , 20.0               ,                  138 ,Education             ,Low
Finland       ,ClosHighPartial                             ,2020-08-04 ,2021-07-31 , 20.0               ,                  361 ,Education             ,Low
Finland       ,ClosPrim                                    ,2020-03-18 ,2020-05-13 , 20.0               ,                   56 ,Education             ,Low
Finland       ,ClosPubAny                                  ,2020-03-18 ,2020-05-31 , 20.0               ,                   74 ,Public Space          ,Low
Finland       ,ClosPubAnyPartial                           ,2020-06-01 ,2022-02-28 , 20.0               ,                  637 ,Public Space          ,Low
Finland       ,ClosSec                                     ,2020-03-18 ,2020-05-13 , 20.0               ,                   56 ,Education             ,Low
Finland       ,ClosSecPartial                              ,2020-08-04 ,2021-07-31 , 20.0               ,                  361 ,Education             ,Low
Finland       ,EntertainmentVenues                         ,2020-03-18 ,2020-05-31 , 20.0               ,                   74 ,Public Space          ,Low
Finland       ,EntertainmentVenuesPartial                  ,2020-06-01 ,2022-02-28 , 20.0               ,                  637 ,Public Space          ,Low
Finland       ,GymsSportsCentres                           ,2020-03-18 ,2020-06-01 , 20.0               ,                   75 ,Public Space          ,Low
Finland       ,IndoorOver50                                ,2020-07-01 ,2020-07-31 , 20.0               ,                   30 ,Gathering             ,Low
Finland       ,IndoorOver50                                ,2020-10-15 ,2021-10-04 , 20.0               ,                  354 ,Gathering             ,Low
