,country,date,weekly_count,indicator,stringency_score
202,Belgium,2021-01-25,32.0,deaths,
203,Belgium,2021-01-25,153.0,deaths,
204,Belgium,2021-02-01,14892.0,cases,
205,Belgium,2021-02-01,24371.0,cases,
206,Belgium,2021-02-01,2416.0,cases,
207,Belgium,2021-02-01,13761.0,cases,
208,Belgium,2021-02-01,73690.0,cases,
209,Belgium,2021-02-01,297.0,deaths,
210,Belgium,2021-02-01,262.0,deaths,
211,Belgium,2021-02-01,23.0,deaths,
212,Belgium,2021-02-01,40.0,deaths,
213,Belgium,2021-02-01,196.0,deaths,
214,Belgium,2021-02-08,12527.0,cases,
215,Belgium,2021-02-08,24423.0,cases,
216,Belgium,2021-02-08,4070.0,cases,
217,Belgium,2021-02-08,13760.0,cases,
218,Belgium,2021-02-08,113029.0,cases,
219,Belgium,2021-02-08,279.0,deaths,
220,Belgium,2021-02-08,273.0,deaths,
221,Belgium,2021-02-08,20.0,deaths,
222,Belgium,2021-02-08,48.0,deaths,
223,Belgium,2021-02-08,260.0,deaths,
224,Belgium,2021-02-15,15361.0,cases,
225,Belgium,2021-02-15,20783.0,cases,
226,Belgium,2021-02-15,7513.0,cases,
227,Belgium,2021-02-15,14475.0,cases,
228,Belgium,2021-02-15,125774.0,cases,
229,Belgium,2021-02-15,210.0,deaths,
230,Belgium,2021-02-15,254.0,deaths,
231,Belgium,2021-02-15,10.0,deaths,
232,Belgium,2021-02-15,39.0,deaths,
233,Belgium,2021-02-15,297.0,deaths,
234,Belgium,2021-02-22,16648.0,cases,
235,Belgium,2021-02-22,20975.0,cases,
236,Belgium,2021-02-22,9541.0,cases,
237,Belgium,2021-02-22,13647.0,cases,
238,Belgium,2021-02-22,117316.0,cases,
239,Belgium,2021-02-22,170.0,deaths,
240,Belgium,2021-02-22,255.0,deaths,
241,Belgium,2021-02-22,7.0,deaths,
242,Belgium,2021-02-22,54.0,deaths,
243,Belgium,2021-02-22,350.0,deaths,
244,Belgium,2021-03-01,16429.0,cases,
245,Belgium,2021-03-01,14649.0,cases,
246,Belgium,2021-03-01,10388.0,cases,
247,Belgium,2021-03-01,13316.0,cases,
248,Belgium,2021-03-01,88873.0,cases,
249,Belgium,2021-03-01,171.0,deaths,
250,Belgium,2021-03-01,140.0,deaths,
251,Belgium,2021-03-01,11.0,deaths,
252,Belgium,2021-03-01,56.0,deaths,
253,Belgium,2021-03-01,310.0,deaths,
254,Belgium,2021-12-27,57254.0,cases,
255,Belgium,2021-12-27,16112.0,cases,
256,Belgium,2021-12-27,138.0,deaths,
257,Belgium,2021-12-27,51.0,deaths,
258,Belgium,2022-01-03,155821.0,cases,
259,Belgium,2022-01-03,71946.0,cases,
260,Belgium,2022-01-03,9126.0,cases,
261,Belgium,2022-01-03,130.0,deaths,
262,Belgium,2022-01-03,132.0,deaths,
263,Belgium,2022-01-03,40.0,deaths,
264,Belgium,2022-01-10,198811.0,cases,
265,Belgium,2022-01-10,78603.0,cases,
266,Belgium,2022-01-10,11372.0,cases,
267,Belgium,2022-01-10,139.0,deaths,
268,Belgium,2022-01-10,158.0,deaths,
269,Belgium,2022-01-10,46.0,deaths,
270,Belgium,2022-01-17,351691.0,cases,
271,Belgium,2022-01-17,71588.0,cases,
272,Belgium,2022-01-17,13147.0,cases,
273,Belgium,2022-01-17,175.0,deaths,
274,Belgium,2022-01-17,163.0,deaths,
275,Belgium,2022-01-17,34.0,deaths,
276,Belgium,2022-01-24,318844.0,cases,20.0
277,Belgium,2022-01-24,62832.0,cases,20.0
278,Belgium,2022-01-24,231.0,deaths,20.0
279,Belgium,2022-01-24,166.0,deaths,20.0
280,Belgium,2022-01-31,185898.0,cases,
281,Belgium,2022-01-31,52569.0,cases,
282,Belgium,2022-01-31,301.0,deaths,
283,Belgium,2022-01-31,167.0,deaths,
284,Belgium,2022-02-07,101736.0,cases,
285,Belgium,2022-02-07,40209.0,cases,
286,Belgium,2022-02-07,320.0,deaths,
287,Belgium,2022-02-07,123.0,deaths,
288,Belgium,2022-02-14,63177.0,cases,
289,Belgium,2022-02-14,32661.0,cases,
290,Belgium,2022-02-14,269.0,deaths,
291,Belgium,2022-02-14,108.0,deaths,
292,Belgium,2022-02-21,44833.0,cases,
